date,fac_b,total_vehicles,cash,ezpass,violation,autos,small_t,large_t,buses,violationrate,avg_speed,delta,awnd,prcp,snow,snwd,tmax,tmin,severe_event_count,severe_flag,gas_price,ezpass_ratio,high_violation
1/6/2015,GWB PIP,17240,1327,15485,428,17162,10,1,67,0.024825986,null,null,6.49,0.05,1,0,21,13,0,0,null,0.898201856,0
1/6/2015,GWB Upper,48277,8371,38768,1142,35821,4103,7576,777,0.023655157,null,null,6.49,0.05,1,0,21,13,0,0,null,0.8030325,0
1/6/2015,Goethals,32138,4197,26995,946,28208,1520,2033,377,0.029435559,null,null,6.49,0.05,1,0,21,13,0,0,null,0.839971373,0
1/6/2015,Holland,36071,5873,29356,842,34066,1456,25,524,0.023342852,null,null,6.49,0.05,1,0,21,13,0,0,null,0.813839372,0
1/6/2015,Lincoln,45055,4986,38898,1171,35024,2815,519,6697,0.025990456,null,null,6.49,0.05,1,0,21,13,0,0,null,0.863344801,0
1/6/2015,Outerbridge,32206,2868,27977,1361,29270,1256,1598,82,0.042259206,null,null,6.49,0.05,1,0,21,13,0,0,null,0.868689064,0
1/7/2015,Bayonne,8136,652,7282,203,7461,314,310,51,0.024950836,null,null,17,0,0.1,1.2,25,8,0,0,null,0.895034415,0
1/7/2015,GWB Lower,51068,6447,42860,1761,50660,119,18,271,0.034483434,null,null,17,0,0.1,1.2,25,8,0,0,null,0.839273126,0
1/7/2015,GWB PIP,18700,1438,16798,464,18631,12,0,57,0.024812834,null,null,17,0,0.1,1.2,25,8,0,0,null,0.89828877,0
1/7/2015,GWB Upper,52322,8798,42380,1145,39403,4352,7804,763,0.02188372,null,null,17,0,0.1,1.2,25,8,0,0,null,0.809984328,0
1/7/2015,Goethals,34175,4385,28644,1146,30173,1604,2042,356,0.033533285,null,null,17,0,0.1,1.2,25,8,0,0,null,0.838156547,0
1/7/2015,Holland,37295,5988,30504,803,35343,1430,17,505,0.021531036,null,null,17,0,0.1,1.2,25,8,0,0,null,0.817911248,0
1/7/2015,Lincoln,48805,5371,42199,1235,38621,2827,602,6755,0.025304784,null,null,17,0,0.1,1.2,25,8,0,0,null,0.864645016,0
1/7/2015,Outerbridge,34245,3203,29723,1319,31384,1137,1621,103,0.038516572,null,null,17,0,0.1,1.2,25,8,0,0,null,0.867951526,0
1/8/2015,Bayonne,8016,658,7177,181,7366,302,302,46,0.02257984,null,null,13.2,0,0,1.2,21,6,0,0,null,0.895334331,0
1/8/2015,GWB Lower,52095,6595,43819,1681,51698,109,20,268,0.032267972,null,null,13.2,0,0,1.2,21,6,0,0,null,0.841136385,0
1/8/2015,GWB PIP,19235,1482,17234,519,19163,9,1,62,0.026982064,null,null,13.2,0,0,1.2,21,6,0,0,null,0.895970886,0
1/8/2015,GWB Upper,54781,9290,44247,1244,41805,4342,7909,725,0.022708603,null,null,13.2,0,0,1.2,21,6,0,0,null,0.807707052,0
1/8/2015,Goethals,34795,4311,29259,1226,30847,1619,1955,374,0.035234948,null,null,13.2,0,0,1.2,21,6,0,0,null,0.840896681,0
1/8/2015,Holland,40430,6294,33220,916,38415,1428,14,573,0.022656443,null,null,13.2,0,0,1.2,21,6,0,0,null,0.821667079,0
1/8/2015,Lincoln,49389,5571,42619,1199,39329,2796,562,6702,0.024276661,null,null,13.2,0,0,1.2,21,6,0,0,null,0.862924943,0
1/8/2015,Outerbridge,34694,3208,30139,1347,31831,1199,1561,103,0.038825157,null,null,13.2,0,0,1.2,21,6,0,0,null,0.868709287,0
1/9/2015,Bayonne,8349,781,7362,206,7655,337,304,53,0.024673614,null,null,14.32,0.04,0.7,0,33,17,0,0,null,0.881782249,0
1/9/2015,GWB Lower,48606,7091,39666,1849,48211,117,16,262,0.038040571,null,null,14.32,0.04,0.7,0,33,17,0,0,null,0.81607209,0
